Quarter,Hour
0,0.259005
0,3.998362
0,4.650996
0,4.650996
0,3.571811
0,2.060952
0,1.167873
0.16904,0
0.23104,0
0.47904,0
0.47904,0.655473
0.47904,0.777804
0.47904,0.777804
0.47904,0.777804
0.47904,0.777804
0.47904,0.777804
0.47904,0.777804
0.47904,0.777804
0.47904,0.777804
0.47904,0.551392
0.41704,0.339588
0.16904,0.339588
0.16904,0.339588
0.16904,966.824249
0.16904,703.422171
0.16904,110.209085
0.16904,179.690605
0.16904,69.974119
0,147.135799
0,270.876875
0,332.473149
0,224.42342
0,155.633511
0,110.155731
0,148.062975
0,305.168419
0,261.737433
0,283.405709
0,266.615846
0,220.626997
0.158928,154.358389
0.093781,827.941795
0.093781,903.110228
0.141526,1005.809048
0.213144,337.40051
0.213144,0
0.213144,0
0.213144,505.627791
0.213144,529.058388
0.213144,66.870494
0.213144,61.275553
0.213144,80.267532
0.213144,148.049061
0.213144,268.679146
0.213144,225.325085
0.213144,184.5605
0.213144,96.68342
0.213144,85.938323
0.213144,160.037788
0.213144,324.812605
0.213144,337.648899
0.213144,149.733469
0.213144,149.808098
0.213144,95.546319
0.213144,0.139472
0.213144,0.139472
0.213144,0.139472
0.213144,0.05114
0.213144,0
0.213144,0
0.213144,0
0.213144,0.519394
0.213144,0.663056
0.213144,0.663056
0.213144,0.663056
0.213144,0.663056
0.213144,0.298375
0.213144,0
0.213144,0.051014
0.213144,77.697559
0.163127,57.578355
0.119363,48.253659
0.119363,42.324686
0.119363,51.763763
0.047745,33.17089
0,13.98187
0,12.395204
0,15.825203
0,12.395204
0,33.595204
0,23.079204
0,28.75248
0,23.359512
0,48.559372
0,67.10707
0,53.490541
0,79.281866
0,98.220421
0,86.794446
0,45.874188
0,48.616654
0,67.076038
0,54.335293
0.84,49.125727
0.553067,51.971616
0.285144,50.198401
0.285144,24.303036
0.285144,54.100576
0.285144,22.306188
0.285144,48.094318
0.285144,22.780752
0.285144,19.306351
0.285144,44.665155
0.285144,9.460752
0.285144,17.520752
0.285144,14.765639
0.285144,42.584911
0.285144,74.755091
0.285144,59.452682
0.285144,67.494566
0.285144,71.80385
0.285144,74.649124
0.285144,98.494441
0.285144,1288.857192
0.285144,970.664681
0.114058,420.465378
0,260.236162
0,275.577666
0,157.282262
0,106.863022
0,224.894499
0,385.062942
0,301.183425
0,246.9648
0,130.993559
0,96.951121
0.174223,178.565033
1.031796,331.173934
1.031796,236.842967
0.911796,147.936461
0.148845,34.391125
0.153108,0
0.153108,769.507258
0.153108,986.154113
0.153108,1190.390015
0.153108,1508.150179
0.153108,264.978196
0.153108,0
0.153108,197.851789
0.153108,924.929572
0.153108,701.6949
0.153108,188.6464
0.153108,151.324011
0.153108,118.648255
0.153108,172.748483
0.153108,335.308349
0.153108,266.039454
0.153108,211.869528
0.153108,210.438096
0.153108,90.592212
0.153108,156.871481
0.153108,306.890505
0.153108,301.969069
0.153108,234.777713
0.153108,23.919844
0.153108,39.222692
0.153108,31.041973
0.153108,21.249603
0.153108,48.695956
0.153108,62.756493
0.153108,91.595333
0.153108,57.28972
0.153108,84.190356
0.153108,64.99086
0.153108,41.055446
0.153108,42.430853
0.148845,59.841694
0.043932,35.176723
0,57.217642
0,68.903967
0,55.517935
0,13.893016
0,25.453826
0,28.185193
0,11.460938
0,10.276652
0,21.666652
0,22.20597
0,22.456549
0,45.246111
0,59.63651
0,83.346264
0.100774,47.247149
0.100774,58.444221
0.100774,80.113407
0.100774,80.139517
