BuildingIndex,Year,Month,Day,Hour,Quarter,IndEnergy_1,IndEnergy_2,IndEnergy_3,IndSOC_1,IndSOC_2,IndSOC_3,EnsembleEnergy,EnsembleSOC,EnergyPImean,EnergyPImin,EnergyPImax,EnergyPIBootmin,EnergyPIBootmax,SOCPImean,SOCPImin,SOCPImax,EnergyDemand,SOCPercent
1,2018,8,8,21,1,12.9112408391089,16.062707901001,21.2701996138455,0,-0.782278895378113,0,19.9129636104713,-0.130877687087301,21.1920109605893,3.95964141160239,38.4243805095762,2.8936046879937,39.1744072013257,0,0,0,34.817232,0
1,2018,8,8,21,2,12.9112408391089,16.0633449554443,22.6902173006667,0,-0.782613396644592,0,20.3804049299727,-0.130933650187345,21.8009265322258,4.67168610556016,38.9301669588915,3.51894205662419,39.7570256160018,0,0,0,43.040111,0
1,2018,8,8,21,3,12.9112408391089,16.0641345977783,20.560112900513,0,-0.782971262931824,0,19.6792173175054,-0.130993522327877,23.1734015936661,1.80295094270056,44.5438522446317,1.0721327477687,45.1598643479881,0,0,0,39.886008,0
1,2018,8,8,22,0,12.9112408391089,16.0637226104736,20.0618773769265,0,-0.782120823860168,0,25.8540485992828,-0.130851241231756,30.7209898504421,11.7384778782749,49.7035018226093,11.5584039501351,49.812273638943,0,0,0,14.825295,0
1,2018,8,8,22,1,12.9112408391089,16.0640068054199,19.5303014580115,0,-0.782442927360535,0,25.5111053742202,-0.130905130147051,31.9846027268018,13.5408059951841,50.4283994584195,13.1881904628899,50.7007497234944,0,0,0,5.677556,0
1,2018,8,8,22,2,12.9112408391089,16.064624786377,20.8786346177472,0,-0.782788872718811,0,26.3809749559772,-0.130963007879171,32.8312393080688,15.3810147428891,50.2814638732486,14.7814146503543,50.7531539686034,0,0,0,6.797884,0
1,2018,8,8,22,3,12.9112408391089,16.0653972625732,19.102192444485,0,-0.783159017562866,0,25.234913243326,-0.131024934260368,31.0586574674722,11.8420939156692,50.2752210192752,11.7304033472451,50.3495819767257,0,0,0,2.66717,0
1,2018,8,8,23,0,2.44112495589744,16.0650024414062,18.9582670706788,0,-0.782279372215271,0,8.27773919248595,-0.130877766863637,7.7023353092058,0,19.9373459997366,0,23.9496963507661,0,0,0,6.932687,0
1,2018,8,8,23,1,2.44112495589744,16.065279006958,17.9141181353385,0,-0.782612562179565,0,8.27783967217418,-0.130933510578756,8.59784716393653,0,21.6286620202548,0,25.4231168462824,0,0,0,9.065446,0
1,2018,8,8,23,2,2.44112495589744,16.0658798217773,19.1717367633172,0,-0.782970309257507,0,8.27805795563483,-0.130993362775204,7.75955053196171,0,20.7090026012929,0,24.2273935539867,0,0,0,10.13167,0
