CargingEent,UserID,CPID,Connector,Startyear,StartMonth,StartDay,StartHour,StartQuarter,EndYear,EndMonth,EndDay,EndHour,EndQuarter,TotalKW,Cost,Site,Group,Model
7749549,600108,50269,2,2018,9,6,13,43,2018,9,6,16,21,8,0,15,1,4
7749553,604750,50523,2,2018,9,6,13,43,2018,9,7,9,44,22,0,19,1,4
7749544,604791,51088,1,2018,9,6,13,42,2018,9,6,14,59,2,0,16,1,4
7749542,607755,51550,2,2018,9,6,13,42,2018,9,6,14,12,14,0,1,1,5
7749528,604750,50230,1,2018,9,6,13,40,2018,9,6,13,42,0,0,19,1,4
7749518,604902,50261,2,2018,9,6,13,39,2018,9,7,8,47,10,0,11,5,4
7749471,604175,51424,2,2018,9,6,13,33,2018,9,6,14,5,14,0,6,2,5
7749467,607097,51549,2,2018,9,6,13,32,2018,9,6,14,0,12,0,1,1,5
7749455,606523,50911,2,2018,9,6,13,30,2018,9,6,13,39,2,0,3,1,3
7749429,603679,51425,2,2018,9,6,13,27,2018,9,6,14,24,29,0,6,2,5
7749404,607025,50913,1,2018,9,6,13,19,2018,9,6,16,25,11,0,1,1,1
7749389,607856,51547,2,2018,9,6,13,19,2018,9,6,13,44,13,0,1,1,5
7749363,604761,50349,2,2018,9,6,13,14,2018,9,6,13,32,8,0,2,1,2
7749342,604832,50267,2,2018,9,6,13,10,2018,9,6,15,57,4,0,9,1,4
7749320,601535,50692,2,2018,9,6,13,6,2018,9,6,13,40,12,0,10,1,3
7749260,606779,50315,1,2018,9,6,12,56,2018,9,6,16,50,7,0,2,1,4
7749225,518921,51548,3,2018,9,6,12,49,2018,9,6,13,49,23,0,1,1,5
7749215,607194,51549,2,2018,9,6,12,47,2018,9,6,13,24,20,0,1,1,5
7749204,604746,51201,2,2018,9,6,12,46,2018,9,7,9,57,3,0,17,1,6
7749190,603571,51550,1,2018,9,6,12,42,2018,9,6,13,15,12,0,1,1,5
7749179,606058,50349,2,2018,9,6,12,39,2018,9,6,13,11,9,0,2,1,2
7749175,607688,51087,2,2018,9,6,12,38,2018,9,6,15,53,8,0,3,1,4
7749171,604812,50339,2,2018,9,6,12,37,2018,9,6,13,37,12,0,18,1,3
7749172,603301,51088,2,2018,9,6,12,37,2018,9,6,14,31,4,0,16,1,4
7749166,601548,50910,2,2018,9,6,12,36,2018,9,6,16,47,10,0,13,1,1
7749163,604726,51200,2,2018,9,6,12,35,2018,9,7,9,40,3,0,17,1,6
7749157,601559,51423,1,2018,9,6,12,32,2018,9,6,13,21,20,0,6,2,5
7749139,604895,50267,1,2018,9,6,12,29,2018,9,7,11,14,7,0,9,1,4
7749129,603902,50269,1,2018,9,6,12,25,2018,9,6,13,54,4,0,15,1,4
7749117,604804,50522,2,2018,9,6,12,19,2018,9,7,7,25,0,0,19,1,4
7749116,605084,51550,2,2018,9,6,12,19,2018,9,6,12,31,8,0,1,1,5
7749115,517838,50261,1,2018,9,6,12,18,2018,9,6,16,39,8,0,11,5,4
7749096,604728,51201,1,2018,9,6,12,14,2018,9,6,12,29,1,0,17,1,6
7749093,519392,51549,2,2018,9,6,12,13,2018,9,6,12,44,12,0,1,1,5
7749065,607224,51426,2,2018,9,6,12,5,2018,9,6,12,30,10,0,6,2,5
7749059,606909,51548,2,2018,9,6,12,4,2018,9,6,12,31,18,0,1,1,5
7749048,604752,51200,1,2018,9,6,12,3,2018,9,6,13,50,4,0,17,1,6
7749031,604760,50240,2,2018,9,6,12,0,2018,9,6,13,8,4,0,16,1,4
7749006,607496,51425,2,2018,9,6,11,56,2018,9,6,12,10,10,0,6,2,5
7749005,606842,51547,2,2018,9,6,11,56,2018,9,6,12,28,15,0,1,1,5
7748994,605454,51423,2,2018,9,6,11,52,2018,9,6,12,15,12,0,6,2,5
7748991,604771,50240,1,2018,9,6,11,52,2018,9,8,8,4,2,0,16,1,4
7748993,605074,51422,2,2018,9,6,11,52,2018,9,6,12,15,8,0,6,1,5
7748905,604738,51547,2,2018,9,6,11,24,2018,9,6,11,45,5,0,1,1,5
7748888,605678,51088,1,2018,9,6,11,19,2018,9,6,13,5,4,0,16,1,4
7748880,608467,51550,2,2018,9,6,11,18,2018,9,6,11,40,7,0,1,1,5
7748873,604733,51199,1,2018,9,6,11,15,2018,9,6,14,12,2,0,17,1,6
7748867,605079,51549,2,2018,9,6,11,14,2018,9,6,11,59,6,0,1,1,5
7748860,604739,51199,2,2018,9,6,11,12,2018,9,6,14,3,4,0,17,1,6
7748827,600402,51424,2,2018,9,6,11,2,2018,9,6,11,9,5,0,6,2,5
7748826,604819,51421,2,2018,9,6,11,2,2018,9,6,11,25,17,0,6,2,5
7748825,605432,51547,2,2018,9,6,11,2,2018,9,6,11,22,13,0,1,1,5
7748744,604800,50692,2,2018,9,6,10,37,2018,9,6,11,10,5,0,10,1,3
7748735,605432,51549,2,2018,9,6,10,35,2018,9,6,10,47,9,0,1,1,5
7748706,605082,51550,2,2018,9,6,10,28,2018,9,6,10,44,7,0,1,1,5
7748696,608229,51426,2,2018,9,6,10,26,2018,9,6,10,52,7,0,6,2,5
7748678,605207,51547,2,2018,9,6,10,21,2018,9,6,10,45,16,0,1,1,5
7748641,604919,51549,2,2018,9,6,10,10,2018,9,6,10,34,9,0,1,1,5
7748639,604761,51356,1,2018,9,6,10,9,2018,9,6,10,54,3,0,16,1,4
7748598,607753,51550,2,2018,9,6,9,59,2018,9,6,10,24,17,0,1,1,5
7748577,608594,50349,1,2018,9,6,9,55,2018,9,6,12,22,6,0,2,1,2
7748564,604726,51200,1,2018,9,6,9,50,2018,9,6,9,58,0,0,17,1,6
7748563,602821,51547,2,2018,9,6,9,49,2018,9,6,10,14,10,0,1,1,5
7748548,608183,51356,2,2018,9,6,9,46,2018,9,6,17,54,13,0,16,1,4
7748549,606698,51548,2,2018,9,6,9,46,2018,9,6,10,43,9,0,1,1,5
7748543,604750,50230,2,2018,9,6,9,45,2018,9,6,13,39,0,0,19,1,4
7748535,520204,51425,2,2018,9,6,9,43,2018,9,6,9,57,10,0,6,2,5
7748511,606102,51422,2,2018,9,6,9,35,2018,9,6,9,56,11,0,6,1,5
7748415,601535,51548,2,2018,9,6,9,15,2018,9,6,9,25,4,0,1,1,5
7748404,606842,51547,2,2018,9,6,9,13,2018,9,6,9,20,4,0,1,1,5
7748389,608473,50349,2,2018,9,6,9,12,2018,9,6,9,40,5,0,2,1,2
